match_id,team_color,goal_difference,match_duration,overtime,player_count,winner,afk_probability,match_date,goal_diff_category,duration_bucket,is_competitive,team_mode,team_color_encoded,mode_Doubles,mode_Duel,mode_Standard,winner_encoded
28,Blue,-2,291,False,1,Orange,0.1,2025-06-21,small_loss,short,1,Blue_Duel,0,False,True,False,2
29,Orange,1,402,False,3,Orange,0.063,2025-09-19,close,long,1,Orange_Standard,1,False,False,True,2
30,Blue,1,290,False,2,Blue,0.119,2025-10-29,close,short,1,Blue_Doubles,0,True,False,False,0
31,Orange,-5,425,False,3,Blue,0.054,2025-07-21,large_loss,very_long,0,Orange_Standard,1,False,False,True,0
32,Blue,3,327,False,1,Blue,0.098,2025-11-17,small_win,normal,0,Blue_Duel,0,False,True,False,0
33,Orange,3,313,False,1,Orange,0.089,2025-10-30,small_win,normal,0,Orange_Duel,1,False,True,False,2
34,Blue,2,271,False,1,Blue,0.105,2025-11-15,small_win,short,1,Blue_Duel,0,False,True,False,0
35,Orange,-5,365,False,2,Blue,0.088,2025-07-26,large_loss,long,0,Orange_Doubles,1,True,False,False,0
36,Blue,2,268,False,2,Blue,0.102,2025-10-18,small_win,short,1,Blue_Doubles,0,True,False,False,0
37,Orange,-2,392,False,2,Blue,0.071,2025-10-09,small_loss,long,1,Orange_Doubles,1,True,False,False,0
38,Orange,-2,336,False,3,Blue,0.098,2025-08-07,small_loss,normal,1,Orange_Standard,1,False,False,True,0
39,Blue,-4,357,False,3,Orange,0.075,2025-07-24,large_loss,normal,0,Blue_Standard,0,False,False,True,2
40,Orange,-6,385,False,1,Blue,0.069,2025-07-31,large_loss,long,0,Orange_Duel,1,False,True,False,0
41,Orange,-2,280,False,3,Blue,0.145,2025-10-24,small_loss,short,1,Orange_Standard,1,False,False,True,0
42,Blue,-6,400,False,1,Orange,0.073,2025-06-15,large_loss,long,0,Blue_Duel,0,False,True,False,2
43,Orange,-4,372,False,1,Blue,0.064,2025-08-17,large_loss,long,0,Orange_Duel,1,False,True,False,0
44,Orange,2,238,False,1,Orange,0.246,2025-07-22,small_win,short,1,Orange_Duel,1,False,True,False,2
45,Orange,-2,528,True,3,Blue,0.061,2025-09-21,small_loss,very_long,1,Orange_Standard,1,False,False,True,0
46,Blue,3,392,False,3,Blue,0.067,2025-07-17,small_win,long,0,Blue_Standard,0,False,False,True,0
47,Blue,-2,285,False,2,Orange,0.127,2025-08-08,small_loss,short,1,Blue_Doubles,0,True,False,False,2
48,Blue,-2,379,False,3,Orange,0.095,2025-07-05,small_loss,long,1,Blue_Standard,0,False,False,True,2
49,Blue,3,351,False,2,Blue,0.064,2025-07-22,small_win,normal,0,Blue_Doubles,0,True,False,False,0
50,Orange,-3,389,False,2,Blue,0.099,2025-08-28,large_loss,long,0,Orange_Doubles,1,True,False,False,0
51,Blue,3,529,True,1,Blue,0.093,2025-10-18,small_win,very_long,0,Blue_Duel,0,False,True,False,0
52,Blue,5,245,False,1,Blue,0.122,2025-10-17,large_win,short,0,Blue_Duel,0,False,True,False,0
53,Blue,3,371,False,2,Blue,0.096,2025-06-01,small_win,long,0,Blue_Doubles,0,True,False,False,0
54,Blue,6,249,False,1,Blue,0.145,2025-08-16,large_win,short,0,Blue_Duel,0,False,True,False,0
55,Blue,-1,263,False,1,Orange,0.111,2025-06-25,small_loss,short,1,Blue_Duel,0,False,True,False,2
56,Orange,1,326,False,3,Orange,0.059,2025-11-16,close,normal,1,Orange_Standard,1,False,False,True,2
57,Blue,5,370,False,2,Blue,0.061,2025-07-10,large_win,long,0,Blue_Doubles,0,True,False,False,0
58,Blue,-3,542,True,2,Orange,0.09,2025-11-08,large_loss,very_long,0,Blue_Doubles,0,True,False,False,2
59,Blue,0,301,False,1,Draw,0.081,2025-08-22,close,normal,1,Blue_Duel,0,False,True,False,1
60,Blue,0,363,False,1,Draw,0.072,2025-10-28,close,long,1,Blue_Duel,0,False,True,False,1
61,Blue,4,260,False,1,Blue,0.129,2025-09-24,large_win,short,0,Blue_Duel,0,False,True,False,0
62,Blue,2,416,False,2,Blue,0.088,2025-08-14,small_win,long,1,Blue_Doubles,0,True,False,False,0
63,Blue,-5,426,False,3,Orange,0.059,2025-11-13,large_loss,very_long,0,Blue_Standard,0,False,False,True,2
64,Orange,-4,366,False,1,Blue,0.072,2025-09-21,large_loss,long,0,Orange_Duel,1,False,True,False,0
65,Blue,0,285,False,3,Draw,0.104,2025-09-25,close,short,1,Blue_Standard,0,False,False,True,1
66,Blue,6,298,False,2,Blue,0.142,2025-10-01,large_win,short,0,Blue_Doubles,0,True,False,False,0
67,Orange,-1,386,False,1,Blue,0.063,2025-08-29,small_loss,long,1,Orange_Duel,1,False,True,False,0
68,Orange,-5,382,False,3,Blue,0.084,2025-08-14,large_loss,long,0,Orange_Standard,1,False,False,True,0
69,Orange,3,489,True,2,Orange,0.06,2025-11-04,small_win,very_long,0,Orange_Doubles,1,True,False,False,2
70,Blue,0,357,False,3,Draw,0.092,2025-11-13,close,normal,1,Blue_Standard,0,False,False,True,1
71,Blue,-3,423,True,3,Orange,0.089,2025-06-14,large_loss,very_long,0,Blue_Standard,0,False,False,True,2
72,Orange,0,249,False,1,Draw,0.147,2025-10-29,close,short,1,Orange_Duel,1,False,True,False,1
73,Blue,3,313,False,3,Blue,0.086,2025-08-29,small_win,normal,0,Blue_Standard,0,False,False,True,0
74,Orange,-3,401,True,1,Blue,0.063,2025-10-06,large_loss,long,0,Orange_Duel,1,False,True,False,0
75,Orange,-4,270,False,3,Blue,0.126,2025-11-21,large_loss,short,0,Orange_Standard,1,False,False,True,0
76,Orange,-2,402,False,2,Blue,0.056,2025-06-30,small_loss,long,1,Orange_Doubles,1,True,False,False,0
77,Orange,-2,279,False,1,Blue,0.119,2025-06-27,small_loss,short,1,Orange_Duel,1,False,True,False,0
78,Blue,-5,405,False,2,Orange,0.082,2025-07-13,large_loss,long,0,Blue_Doubles,0,True,False,False,2
79,Blue,5,314,False,1,Blue,0.062,2025-10-19,large_win,normal,0,Blue_Duel,0,False,True,False,0
80,Blue,-2,316,False,2,Orange,0.073,2025-06-14,small_loss,normal,1,Blue_Doubles,0,True,False,False,2
81,Blue,-6,233,False,1,Orange,0.241,2025-09-06,large_loss,short,0,Blue_Duel,0,False,True,False,2
82,Blue,-2,436,True,1,Orange,0.084,2025-06-14,small_loss,very_long,1,Blue_Duel,0,False,True,False,2
83,Orange,6,348,False,3,Orange,0.093,2025-11-25,large_win,normal,0,Orange_Standard,1,False,False,True,2
84,Orange,3,230,False,1,Orange,0.222,2025-06-09,small_win,short,0,Orange_Duel,1,False,True,False,2
85,Blue,-3,376,False,1,Orange,0.077,2025-08-25,large_loss,long,0,Blue_Duel,0,False,True,False,2
86,Blue,-6,357,False,3,Orange,0.098,2025-10-30,large_loss,normal,0,Blue_Standard,0,False,False,True,2
87,Orange,-5,385,False,2,Blue,0.053,2025-11-26,large_loss,long,0,Orange_Doubles,1,True,False,False,0
88,Blue,-1,280,False,2,Orange,0.107,2025-07-14,small_loss,short,1,Blue_Doubles,0,True,False,False,2
89,Orange,-4,537,True,3,Blue,0.052,2025-10-26,large_loss,very_long,0,Orange_Standard,1,False,False,True,0
90,Blue,-4,263,False,2,Orange,0.129,2025-07-30,large_loss,short,0,Blue_Doubles,0,True,False,False,2
91,Orange,-5,352,False,2,Blue,0.097,2025-10-04,large_loss,normal,0,Orange_Doubles,1,True,False,False,0
92,Blue,0,235,False,1,Draw,0.204,2025-06-01,close,short,1,Blue_Duel,0,False,True,False,1
93,Blue,6,291,False,3,Blue,0.126,2025-11-26,large_win,short,0,Blue_Standard,0,False,False,True,0
94,Orange,3,289,False,3,Orange,0.146,2025-09-10,small_win,short,0,Orange_Standard,1,False,False,True,2
95,Orange,-6,344,False,3,Blue,0.087,2025-09-23,large_loss,normal,0,Orange_Standard,1,False,False,True,0
96,Blue,-3,305,False,1,Orange,0.051,2025-08-08,large_loss,normal,0,Blue_Duel,0,False,True,False,2
97,Orange,-4,313,False,2,Blue,0.087,2025-08-20,large_loss,normal,0,Orange_Doubles,1,True,False,False,0
98,Orange,6,367,False,1,Orange,0.096,2025-09-04,large_win,long,0,Orange_Duel,1,False,True,False,2
99,Orange,-1,372,False,3,Blue,0.075,2025-07-15,small_loss,long,1,Orange_Standard,1,False,False,True,0
100,Blue,-5,432,False,3,Orange,0.082,2025-08-05,large_loss,very_long,0,Blue_Standard,0,False,False,True,2
101,Blue,-6,322,False,1,Orange,0.098,2025-08-03,large_loss,normal,0,Blue_Duel,0,False,True,False,2
102,Orange,-1,412,False,2,Blue,0.063,2025-07-18,small_loss,long,1,Orange_Doubles,1,True,False,False,0
103,Blue,-6,262,False,2,Orange,0.148,2025-11-25,large_loss,short,0,Blue_Doubles,0,True,False,False,2
104,Blue,5,230,False,1,Blue,0.209,2025-10-16,large_win,short,0,Blue_Duel,0,False,True,False,0
105,Orange,-6,385,False,2,Blue,0.083,2025-06-18,large_loss,long,0,Orange_Doubles,1,True,False,False,0
106,Orange,-5,267,False,1,Blue,0.1,2025-11-24,large_loss,short,0,Orange_Duel,1,False,True,False,0
107,Blue,-4,353,False,2,Orange,0.097,2025-08-18,large_loss,normal,0,Blue_Doubles,0,True,False,False,2
108,Orange,-5,312,False,1,Blue,0.051,2025-08-14,large_loss,normal,0,Orange_Duel,1,False,True,False,0
109,Blue,3,385,False,3,Blue,0.056,2025-06-02,small_win,long,0,Blue_Standard,0,False,False,True,0
110,Blue,4,369,False,3,Blue,0.076,2025-06-06,large_win,long,0,Blue_Standard,0,False,False,True,0
111,Blue,-1,332,False,3,Orange,0.084,2025-11-05,small_loss,normal,1,Blue_Standard,0,False,False,True,2
112,Blue,-2,377,False,2,Orange,0.083,2025-10-13,small_loss,long,1,Blue_Doubles,0,True,False,False,2
113,Blue,2,387,True,2,Blue,0.089,2025-08-17,small_win,long,1,Blue_Doubles,0,True,False,False,0
114,Orange,6,261,False,3,Orange,0.142,2025-08-07,large_win,short,0,Orange_Standard,1,False,False,True,2
115,Blue,6,366,False,3,Blue,0.058,2025-11-05,large_win,long,0,Blue_Standard,0,False,False,True,0
116,Blue,2,531,True,2,Blue,0.054,2025-09-21,small_win,very_long,1,Blue_Doubles,0,True,False,False,0
117,Blue,3,347,True,2,Blue,0.099,2025-06-26,small_win,normal,0,Blue_Doubles,0,True,False,False,0
118,Blue,-2,221,False,1,Orange,0.228,2025-11-08,small_loss,short,1,Blue_Duel,0,False,True,False,2
119,Blue,-4,432,False,3,Orange,0.075,2025-06-20,large_loss,very_long,0,Blue_Standard,0,False,False,True,2
120,Orange,3,293,False,3,Orange,0.103,2025-06-12,small_win,short,0,Orange_Standard,1,False,False,True,2
121,Blue,5,390,True,3,Blue,0.09,2025-06-29,large_win,long,0,Blue_Standard,0,False,False,True,0
122,Blue,3,276,False,1,Blue,0.118,2025-11-24,small_win,short,0,Blue_Duel,0,False,True,False,0
123,Orange,3,360,False,2,Orange,0.093,2025-09-09,small_win,normal,0,Orange_Doubles,1,True,False,False,2
124,Blue,-2,363,False,3,Orange,0.089,2025-07-22,small_loss,long,1,Blue_Standard,0,False,False,True,2
125,Orange,4,347,False,1,Orange,0.061,2025-08-08,large_win,normal,0,Orange_Duel,1,False,True,False,2
126,Blue,3,349,False,1,Blue,0.099,2025-08-14,small_win,normal,0,Blue_Duel,0,False,True,False,0
127,Orange,-4,276,False,1,Blue,0.12,2025-07-12,large_loss,short,0,Orange_Duel,1,False,True,False,0
128,Orange,3,271,False,3,Orange,0.141,2025-06-28,small_win,short,0,Orange_Standard,1,False,False,True,2
129,Orange,3,371,False,1,Orange,0.08,2025-09-04,small_win,long,0,Orange_Duel,1,False,True,False,2
130,Orange,-1,383,False,1,Blue,0.099,2025-09-27,small_loss,long,1,Orange_Duel,1,False,True,False,0
131,Blue,-6,390,False,3,Orange,0.075,2025-11-20,large_loss,long,0,Blue_Standard,0,False,False,True,2
132,Blue,-5,326,False,3,Orange,0.054,2025-09-12,large_loss,normal,0,Blue_Standard,0,False,False,True,2
133,Blue,-6,383,False,3,Orange,0.093,2025-07-12,large_loss,long,0,Blue_Standard,0,False,False,True,2
134,Orange,4,220,False,1,Orange,0.229,2025-08-24,large_win,short,0,Orange_Duel,1,False,True,False,2
135,Orange,5,465,True,1,Orange,0.09,2025-06-14,large_win,very_long,0,Orange_Duel,1,False,True,False,2
136,Orange,-3,315,False,2,Blue,0.069,2025-07-20,large_loss,normal,0,Orange_Doubles,1,True,False,False,0
137,Blue,-3,372,False,1,Orange,0.082,2025-07-17,large_loss,long,0,Blue_Duel,0,False,True,False,2
138,Orange,-6,318,False,2,Blue,0.095,2025-08-02,large_loss,normal,0,Orange_Doubles,1,True,False,False,0
139,Orange,0,388,True,1,Draw,0.076,2025-11-08,close,long,1,Orange_Duel,1,False,True,False,1
140,Orange,-2,409,False,2,Blue,0.086,2025-07-04,small_loss,long,1,Orange_Doubles,1,True,False,False,0
141,Orange,6,326,False,1,Orange,0.054,2025-09-26,large_win,normal,0,Orange_Duel,1,False,True,False,2
142,Orange,4,232,False,1,Orange,0.225,2025-08-18,large_win,short,0,Orange_Duel,1,False,True,False,2
143,Orange,4,299,False,3,Orange,0.105,2025-07-17,large_win,short,0,Orange_Standard,1,False,False,True,2
144,Orange,2,287,False,1,Orange,0.133,2025-09-28,small_win,short,1,Orange_Duel,1,False,True,False,2
145,Orange,-1,412,False,3,Blue,0.083,2025-09-11,small_loss,long,1,Orange_Standard,1,False,False,True,0
146,Blue,-1,383,True,2,Orange,0.093,2025-10-27,small_loss,long,1,Blue_Doubles,0,True,False,False,2
147,Blue,-6,609,True,3,Orange,0.051,2025-11-01,large_loss,very_long,0,Blue_Standard,0,False,False,True,2
148,Blue,-1,322,False,3,Orange,0.089,2025-09-12,small_loss,normal,1,Blue_Standard,0,False,False,True,2
149,Orange,3,254,False,2,Orange,0.103,2025-07-03,small_win,short,0,Orange_Doubles,1,True,False,False,2
150,Orange,-4,291,False,1,Blue,0.13,2025-10-03,large_loss,short,0,Orange_Duel,1,False,True,False,0
151,Orange,6,546,True,2,Orange,0.097,2025-11-21,large_win,very_long,0,Orange_Doubles,1,True,False,False,2
152,Blue,1,414,False,2,Blue,0.081,2025-07-13,close,long,1,Blue_Doubles,0,True,False,False,0
153,Orange,-1,314,False,2,Blue,0.077,2025-07-14,small_loss,normal,1,Orange_Doubles,1,True,False,False,0
154,Orange,-3,365,False,1,Blue,0.066,2025-08-20,large_loss,long,0,Orange_Duel,1,False,True,False,0
155,Orange,3,354,False,2,Orange,0.086,2025-11-13,small_win,normal,0,Orange_Doubles,1,True,False,False,2
156,Blue,-4,385,False,1,Orange,0.059,2025-09-04,large_loss,long,0,Blue_Duel,0,False,True,False,2
157,Blue,-4,353,False,2,Orange,0.093,2025-09-03,large_loss,normal,0,Blue_Doubles,0,True,False,False,2
158,Blue,-3,526,True,3,Orange,0.079,2025-09-01,large_loss,very_long,0,Blue_Standard,0,False,False,True,2
159,Orange,-4,378,False,2,Blue,0.091,2025-11-23,large_loss,long,0,Orange_Doubles,1,True,False,False,0
160,Blue,-6,357,False,2,Orange,0.057,2025-06-19,large_loss,normal,0,Blue_Doubles,0,True,False,False,2
161,Orange,-1,360,False,2,Blue,0.08,2025-09-12,small_loss,normal,1,Orange_Doubles,1,True,False,False,0
162,Blue,1,395,False,3,Blue,0.056,2025-06-03,close,long,1,Blue_Standard,0,False,False,True,0
163,Blue,6,264,False,3,Blue,0.143,2025-07-04,large_win,short,0,Blue_Standard,0,False,False,True,0
164,Blue,3,360,True,2,Blue,0.072,2025-08-31,small_win,normal,0,Blue_Doubles,0,True,False,False,0
165,Blue,-5,421,False,3,Orange,0.09,2025-06-02,large_loss,very_long,0,Blue_Standard,0,False,False,True,2
166,Blue,-1,478,True,2,Orange,0.056,2025-07-12,small_loss,very_long,1,Blue_Doubles,0,True,False,False,2
167,Orange,6,355,False,3,Orange,0.066,2025-08-03,large_win,normal,0,Orange_Standard,1,False,False,True,2
168,Orange,5,390,False,1,Orange,0.084,2025-06-30,large_win,long,0,Orange_Duel,1,False,True,False,2
169,Blue,6,421,False,3,Blue,0.053,2025-07-16,large_win,very_long,0,Blue_Standard,0,False,False,True,0
170,Blue,0,278,False,3,Draw,0.101,2025-07-13,close,short,1,Blue_Standard,0,False,False,True,1
171,Blue,-2,348,True,2,Orange,0.056,2025-06-19,small_loss,normal,1,Blue_Doubles,0,True,False,False,2
172,Orange,-4,534,True,2,Blue,0.073,2025-08-28,large_loss,very_long,0,Orange_Doubles,1,True,False,False,0
173,Orange,-2,266,False,1,Blue,0.147,2025-10-09,small_loss,short,1,Orange_Duel,1,False,True,False,0
174,Orange,-4,385,False,3,Blue,0.096,2025-06-27,large_loss,long,0,Orange_Standard,1,False,False,True,0
175,Blue,-6,398,False,3,Orange,0.063,2025-11-02,large_loss,long,0,Blue_Standard,0,False,False,True,2
176,Blue,-2,569,True,2,Orange,0.067,2025-11-10,small_loss,very_long,1,Blue_Doubles,0,True,False,False,2
177,Blue,-2,321,False,1,Orange,0.053,2025-10-29,small_loss,normal,1,Blue_Duel,0,False,True,False,2
178,Orange,-3,280,False,1,Blue,0.104,2025-08-05,large_loss,short,0,Orange_Duel,1,False,True,False,0
179,Blue,4,301,False,3,Blue,0.091,2025-08-05,large_win,normal,0,Blue_Standard,0,False,False,True,0
180,Orange,2,260,False,1,Orange,0.122,2025-06-15,small_win,short,1,Orange_Duel,1,False,True,False,2
181,Orange,3,284,False,1,Orange,0.132,2025-06-05,small_win,short,0,Orange_Duel,1,False,True,False,2
182,Orange,-4,356,False,3,Blue,0.052,2025-07-04,large_loss,normal,0,Orange_Standard,1,False,False,True,0
183,Blue,1,413,False,2,Blue,0.068,2025-09-14,close,long,1,Blue_Doubles,0,True,False,False,0
184,Blue,3,301,False,3,Blue,0.058,2025-07-02,small_win,normal,0,Blue_Standard,0,False,False,True,0
185,Blue,3,284,False,3,Blue,0.116,2025-06-10,small_win,short,0,Blue_Standard,0,False,False,True,0
186,Blue,2,238,False,1,Blue,0.206,2025-06-04,small_win,short,1,Blue_Duel,0,False,True,False,0
187,Orange,-5,311,False,3,Blue,0.099,2025-08-24,large_loss,normal,0,Orange_Standard,1,False,False,True,0
188,Orange,-3,305,False,2,Blue,0.051,2025-09-20,large_loss,normal,0,Orange_Doubles,1,True,False,False,0
189,Blue,1,437,False,3,Blue,0.053,2025-06-08,close,very_long,1,Blue_Standard,0,False,False,True,0
190,Orange,6,415,False,3,Orange,0.072,2025-09-13,large_win,long,0,Orange_Standard,1,False,False,True,2
191,Blue,-6,360,False,3,Orange,0.073,2025-09-09,large_loss,normal,0,Blue_Standard,0,False,False,True,2
192,Blue,6,430,False,3,Blue,0.076,2025-07-29,large_win,very_long,0,Blue_Standard,0,False,False,True,0
193,Blue,-2,291,False,2,Orange,0.143,2025-07-02,small_loss,short,1,Blue_Doubles,0,True,False,False,2
194,Orange,-2,267,False,3,Blue,0.149,2025-09-04,small_loss,short,1,Orange_Standard,1,False,False,True,0
195,Blue,6,342,True,1,Blue,0.073,2025-11-16,large_win,normal,0,Blue_Duel,0,False,True,False,0
196,Blue,-4,396,False,2,Orange,0.054,2025-06-13,large_loss,long,0,Blue_Doubles,0,True,False,False,2
197,Orange,6,419,False,3,Orange,0.09,2025-10-02,large_win,long,0,Orange_Standard,1,False,False,True,2
198,Blue,3,383,False,2,Blue,0.083,2025-06-01,small_win,long,0,Blue_Doubles,0,True,False,False,0
199,Orange,-4,473,True,3,Blue,0.07,2025-09-10,large_loss,very_long,0,Orange_Standard,1,False,False,True,0
200,Orange,-5,361,False,3,Blue,0.085,2025-09-20,large_loss,long,0,Orange_Standard,1,False,False,True,0
201,Blue,-4,305,False,2,Orange,0.078,2025-11-09,large_loss,normal,0,Blue_Doubles,0,True,False,False,2
202,Orange,-3,297,False,3,Blue,0.131,2025-08-10,large_loss,short,0,Orange_Standard,1,False,False,True,0
203,Blue,-4,313,False,3,Orange,0.081,2025-06-23,large_loss,normal,0,Blue_Standard,0,False,False,True,2
204,Orange,-4,261,False,1,Blue,0.104,2025-06-09,large_loss,short,0,Orange_Duel,1,False,True,False,0
205,Blue,2,385,False,2,Blue,0.096,2025-07-16,small_win,long,1,Blue_Doubles,0,True,False,False,0
206,Blue,-6,339,False,3,Orange,0.069,2025-09-08,large_loss,normal,0,Blue_Standard,0,False,False,True,2
207,Blue,-6,376,True,3,Orange,0.083,2025-09-07,large_loss,long,0,Blue_Standard,0,False,False,True,2
208,Orange,-2,450,True,3,Blue,0.071,2025-10-24,small_loss,very_long,1,Orange_Standard,1,False,False,True,0
209,Orange,-3,297,False,2,Blue,0.146,2025-06-14,large_loss,short,0,Orange_Doubles,1,True,False,False,0
210,Orange,4,325,False,3,Orange,0.085,2025-09-15,large_win,normal,0,Orange_Standard,1,False,False,True,2
211,Orange,-2,249,False,2,Blue,0.113,2025-07-20,small_loss,short,1,Orange_Doubles,1,True,False,False,0
212,Blue,1,401,False,3,Blue,0.08,2025-07-24,close,long,1,Blue_Standard,0,False,False,True,0
213,Orange,-6,400,False,3,Blue,0.085,2025-07-26,large_loss,long,0,Orange_Standard,1,False,False,True,0
214,Orange,2,322,False,1,Orange,0.081,2025-06-01,small_win,normal,1,Orange_Duel,1,False,True,False,2
215,Orange,6,277,False,3,Orange,0.112,2025-06-01,large_win,short,0,Orange_Standard,1,False,False,True,2
216,Blue,-5,393,True,1,Orange,0.097,2025-09-23,large_loss,long,0,Blue_Duel,0,False,True,False,2
217,Orange,5,366,False,3,Orange,0.067,2025-08-08,large_win,long,0,Orange_Standard,1,False,False,True,2
218,Orange,-2,283,False,3,Blue,0.107,2025-06-20,small_loss,short,1,Orange_Standard,1,False,False,True,0
219,Blue,2,359,False,2,Blue,0.074,2025-09-06,small_win,normal,1,Blue_Doubles,0,True,False,False,0
220,Orange,1,442,True,3,Orange,0.089,2025-06-01,close,very_long,1,Orange_Standard,1,False,False,True,2
221,Blue,-6,510,True,3,Orange,0.065,2025-11-25,large_loss,very_long,0,Blue_Standard,0,False,False,True,2
222,Blue,-5,378,False,3,Orange,0.099,2025-10-06,large_loss,long,0,Blue_Standard,0,False,False,True,2
223,Orange,-2,493,True,3,Blue,0.076,2025-11-24,small_loss,very_long,1,Orange_Standard,1,False,False,True,0
224,Blue,5,365,False,2,Blue,0.059,2025-07-10,large_win,long,0,Blue_Doubles,0,True,False,False,0
225,Blue,-1,356,False,3,Orange,0.065,2025-06-23,small_loss,normal,1,Blue_Standard,0,False,False,True,2
226,Orange,6,275,False,1,Orange,0.142,2025-08-05,large_win,short,0,Orange_Duel,1,False,True,False,2
227,Blue,6,403,True,2,Blue,0.069,2025-06-08,large_win,long,0,Blue_Doubles,0,True,False,False,0
228,Blue,2,267,False,2,Blue,0.125,2025-06-17,small_win,short,1,Blue_Doubles,0,True,False,False,0
229,Orange,-2,340,False,2,Blue,0.061,2025-11-06,small_loss,normal,1,Orange_Doubles,1,True,False,False,0
230,Orange,3,367,False,2,Orange,0.053,2025-11-01,small_win,long,0,Orange_Doubles,1,True,False,False,2
231,Orange,-6,508,True,3,Blue,0.093,2025-10-03,large_loss,very_long,0,Orange_Standard,1,False,False,True,0
232,Orange,-1,230,False,1,Blue,0.227,2025-06-19,small_loss,short,1,Orange_Duel,1,False,True,False,0
233,Blue,-1,283,False,3,Orange,0.132,2025-09-29,small_loss,short,1,Blue_Standard,0,False,False,True,2
234,Blue,4,317,False,2,Blue,0.062,2025-09-15,large_win,normal,0,Blue_Doubles,0,True,False,False,0
235,Orange,4,349,False,2,Orange,0.058,2025-08-22,large_win,normal,0,Orange_Doubles,1,True,False,False,2
236,Orange,6,306,False,2,Orange,0.088,2025-06-20,large_win,normal,0,Orange_Doubles,1,True,False,False,2
237,Orange,6,272,False,1,Orange,0.117,2025-11-03,large_win,short,0,Orange_Duel,1,False,True,False,2
238,Orange,1,261,False,1,Orange,0.114,2025-06-14,close,short,1,Orange_Duel,1,False,True,False,2
239,Blue,6,343,False,3,Blue,0.092,2025-06-07,large_win,normal,0,Blue_Standard,0,False,False,True,0
240,Orange,0,505,True,3,Draw,0.076,2025-07-01,close,very_long,1,Orange_Standard,1,False,False,True,1
241,Orange,-2,428,True,1,Blue,0.069,2025-10-05,small_loss,very_long,1,Orange_Duel,1,False,True,False,0
242,Orange,2,254,False,1,Orange,0.145,2025-07-21,small_win,short,1,Orange_Duel,1,False,True,False,2
243,Orange,1,257,False,2,Orange,0.141,2025-06-02,close,short,1,Orange_Doubles,1,True,False,False,2
