match_id,team_color,game_mode,goal_difference,match_duration,overtime,player_count,winner,afk_probability,match_date
29,Orange,Standard,1,402,False,3,Orange,0.063,2025-09-19
30,Blue,Doubles,1,290,False,2,Blue,0.119,2025-10-29
31,Orange,Standard,-5,425,False,3,Blue,0.054,2025-07-21
32,Blue,Duel,3,327,False,1,Blue,0.098,2025-11-17
33,Orange,Duel,3,313,False,1,Orange,0.089,2025-10-30
34,Blue,Duel,2,271,False,1,Blue,0.105,2025-11-15
35,Orange,Doubles,-5,365,False,2,Blue,0.088,2025-07-26
36,Blue,Doubles,2,268,False,2,Blue,0.102,2025-10-18
37,Orange,Doubles,-2,392,False,2,Blue,0.071,2025-10-09
38,Orange,Standard,-2,336,False,3,Blue,0.098,2025-08-07
39,Blue,Standard,-4,357,False,3,Orange,0.075,2025-07-24
40,Orange,Duel,-6,385,False,1,Blue,0.069,2025-07-31
41,Orange,Standard,-2,280,False,3,Blue,0.145,2025-10-24
42,Blue,Duel,-6,400,False,1,Orange,0.073,2025-06-15
43,Orange,Duel,-4,372,False,1,Blue,0.064,2025-08-17
44,Orange,Duel,2,238,False,1,Orange,0.246,2025-07-22
45,Orange,Standard,-2,528,True,3,Blue,0.061,2025-09-21
46,Blue,Standard,3,392,False,3,Blue,0.067,2025-07-17
47,Blue,Doubles,-2,285,False,2,Orange,0.127,2025-08-08
48,Blue,Standard,-2,379,False,3,Orange,0.095,2025-07-05
49,Blue,Doubles,3,351,False,2,Blue,0.064,2025-07-22
50,Orange,Doubles,-3,389,False,2,Blue,0.099,2025-08-28
51,Blue,Duel,3,529,True,1,Blue,0.093,2025-10-18
52,Blue,Duel,5,245,False,1,Blue,0.122,2025-10-17
53,Blue,Doubles,3,371,False,2,Blue,0.096,2025-06-01
54,Blue,Duel,6,249,False,1,Blue,0.145,2025-08-16
55,Blue,Duel,-1,263,False,1,Orange,0.111,2025-06-25
56,Orange,Standard,1,326,False,3,Orange,0.059,2025-11-16
57,Blue,Doubles,5,370,False,2,Blue,0.061,2025-07-10
58,Blue,Doubles,-3,542,True,2,Orange,0.09,2025-11-08
59,Blue,Duel,0,301,False,1,Draw,0.081,2025-08-22
60,Blue,Duel,0,363,False,1,Draw,0.072,2025-10-28
61,Blue,Duel,4,260,False,1,Blue,0.129,2025-09-24
62,Blue,Doubles,2,416,False,2,Blue,0.088,2025-08-14
63,Blue,Standard,-5,426,False,3,Orange,0.059,2025-11-13
64,Orange,Duel,-4,366,False,1,Blue,0.072,2025-09-21
65,Blue,Standard,0,285,False,3,Draw,0.104,2025-09-25
66,Blue,Doubles,6,298,False,2,Blue,0.142,2025-10-01
67,Orange,Duel,-1,386,False,1,Blue,0.063,2025-08-29
68,Orange,Standard,-5,382,False,3,Blue,0.084,2025-08-14
69,Orange,Doubles,3,489,True,2,Orange,0.06,2025-11-04
70,Blue,Standard,0,357,False,3,Draw,0.092,2025-11-13
71,Blue,Standard,-3,423,True,3,Orange,0.089,2025-06-14
72,Orange,Duel,0,249,False,1,Draw,0.147,2025-10-29
73,Blue,Standard,3,313,False,3,Blue,0.086,2025-08-29
74,Orange,Duel,-3,401,True,1,Blue,0.063,2025-10-06
75,Orange,Standard,-4,270,False,3,Blue,0.126,2025-11-21
76,Orange,Doubles,-2,402,False,2,Blue,0.056,2025-06-30
77,Orange,Duel,-2,279,False,1,Blue,0.119,2025-06-27
78,Blue,Doubles,-5,405,False,2,Orange,0.082,2025-07-13
79,Blue,Duel,5,314,False,1,Blue,0.062,2025-10-19
80,Blue,Doubles,-2,316,False,2,Orange,0.073,2025-06-14
81,Blue,Duel,-6,233,False,1,Orange,0.241,2025-09-06
82,Blue,Duel,-2,436,True,1,Orange,0.084,2025-06-14
83,Orange,Standard,6,348,False,3,Orange,0.093,2025-11-25
84,Orange,Duel,3,230,False,1,Orange,0.222,2025-06-09
85,Blue,Duel,-3,376,False,1,Orange,0.077,2025-08-25
86,Blue,Standard,-6,357,False,3,Orange,0.098,2025-10-30
87,Orange,Doubles,-5,385,False,2,Blue,0.053,2025-11-26
88,Blue,Doubles,-1,280,False,2,Orange,0.107,2025-07-14
89,Orange,Standard,-4,537,True,3,Blue,0.052,2025-10-26
90,Blue,Doubles,-4,263,False,2,Orange,0.129,2025-07-30
91,Orange,Doubles,-5,352,False,2,Blue,0.097,2025-10-04
92,Blue,Duel,0,235,False,1,Draw,0.204,2025-06-01
93,Blue,Standard,6,291,False,3,Blue,0.126,2025-11-26
94,Orange,Standard,3,289,False,3,Orange,0.146,2025-09-10
95,Orange,Standard,-6,344,False,3,Blue,0.087,2025-09-23
96,Blue,Duel,-3,305,False,1,Orange,0.051,2025-08-08
97,Orange,Doubles,-4,313,False,2,Blue,0.087,2025-08-20
98,Orange,Duel,6,367,False,1,Orange,0.096,2025-09-04
99,Orange,Standard,-1,372,False,3,Blue,0.075,2025-07-15
100,Blue,Standard,-5,432,False,3,Orange,0.082,2025-08-05
101,Blue,Duel,-6,322,False,1,Orange,0.098,2025-08-03
102,Orange,Doubles,-1,412,False,2,Blue,0.063,2025-07-18
103,Blue,Doubles,-6,262,False,2,Orange,0.148,2025-11-25
104,Blue,Duel,5,230,False,1,Blue,0.209,2025-10-16
105,Orange,Doubles,-6,385,False,2,Blue,0.083,2025-06-18
106,Orange,Duel,-5,267,False,1,Blue,0.1,2025-11-24
107,Blue,Doubles,-4,353,False,2,Orange,0.097,2025-08-18
108,Orange,Duel,-5,312,False,1,Blue,0.051,2025-08-14
109,Blue,Standard,3,385,False,3,Blue,0.056,2025-06-02
110,Blue,Standard,4,369,False,3,Blue,0.076,2025-06-06
111,Blue,Standard,-1,332,False,3,Orange,0.084,2025-11-05
112,Blue,Doubles,-2,377,False,2,Orange,0.083,2025-10-13
113,Blue,Doubles,2,387,True,2,Blue,0.089,2025-08-17
114,Orange,Standard,6,261,False,3,Orange,0.142,2025-08-07
115,Blue,Standard,6,366,False,3,Blue,0.058,2025-11-05
116,Blue,Doubles,2,531,True,2,Blue,0.054,2025-09-21
117,Blue,Doubles,3,347,True,2,Blue,0.099,2025-06-26
118,Blue,Duel,-2,221,False,1,Orange,0.228,2025-11-08
119,Blue,Standard,-4,432,False,3,Orange,0.075,2025-06-20
120,Orange,Standard,3,293,False,3,Orange,0.103,2025-06-12
121,Blue,Standard,5,390,True,3,Blue,0.09,2025-06-29
122,Blue,Duel,3,276,False,1,Blue,0.118,2025-11-24
123,Orange,Doubles,3,360,False,2,Orange,0.093,2025-09-09
124,Blue,Standard,-2,363,False,3,Orange,0.089,2025-07-22
125,Orange,Duel,4,347,False,1,Orange,0.061,2025-08-08
126,Blue,Duel,3,349,False,1,Blue,0.099,2025-08-14
127,Orange,Duel,-4,276,False,1,Blue,0.12,2025-07-12
128,Orange,Standard,3,271,False,3,Orange,0.141,2025-06-28
129,Orange,Duel,3,371,False,1,Orange,0.08,2025-09-04
130,Orange,Duel,-1,383,False,1,Blue,0.099,2025-09-27
131,Blue,Standard,-6,390,False,3,Orange,0.075,2025-11-20
132,Blue,Standard,-5,326,False,3,Orange,0.054,2025-09-12
133,Blue,Standard,-6,383,False,3,Orange,0.093,2025-07-12
134,Orange,Duel,4,220,False,1,Orange,0.229,2025-08-24
135,Orange,Duel,5,465,True,1,Orange,0.09,2025-06-14
136,Orange,Doubles,-3,315,False,2,Blue,0.069,2025-07-20
137,Blue,Duel,-3,372,False,1,Orange,0.082,2025-07-17
138,Orange,Doubles,-6,318,False,2,Blue,0.095,2025-08-02
139,Orange,Duel,0,388,True,1,Draw,0.076,2025-11-08
140,Orange,Doubles,-2,409,False,2,Blue,0.086,2025-07-04
141,Orange,Duel,6,326,False,1,Orange,0.054,2025-09-26
142,Orange,Duel,4,232,False,1,Orange,0.225,2025-08-18
143,Orange,Standard,4,299,False,3,Orange,0.105,2025-07-17
144,Orange,Duel,2,287,False,1,Orange,0.133,2025-09-28
145,Orange,Standard,-1,412,False,3,Blue,0.083,2025-09-11
146,Blue,Doubles,-1,383,True,2,Orange,0.093,2025-10-27
147,Blue,Standard,-6,609,True,3,Orange,0.051,2025-11-01
148,Blue,Standard,-1,322,False,3,Orange,0.089,2025-09-12
149,Orange,Doubles,3,254,False,2,Orange,0.103,2025-07-03
150,Orange,Duel,-4,291,False,1,Blue,0.13,2025-10-03
151,Orange,Doubles,6,546,True,2,Orange,0.097,2025-11-21
152,Blue,Doubles,1,414,False,2,Blue,0.081,2025-07-13
153,Orange,Doubles,-1,314,False,2,Blue,0.077,2025-07-14
154,Orange,Duel,-3,365,False,1,Blue,0.066,2025-08-20
155,Orange,Doubles,3,354,False,2,Orange,0.086,2025-11-13
156,Blue,Duel,-4,385,False,1,Orange,0.059,2025-09-04
157,Blue,Doubles,-4,353,False,2,Orange,0.093,2025-09-03
158,Blue,Standard,-3,526,True,3,Orange,0.079,2025-09-01
159,Orange,Doubles,-4,378,False,2,Blue,0.091,2025-11-23
160,Blue,Doubles,-6,357,False,2,Orange,0.057,2025-06-19
161,Orange,Doubles,-1,360,False,2,Blue,0.08,2025-09-12
162,Blue,Standard,1,395,False,3,Blue,0.056,2025-06-03
163,Blue,Standard,6,264,False,3,Blue,0.143,2025-07-04
164,Blue,Doubles,3,360,True,2,Blue,0.072,2025-08-31
165,Blue,Standard,-5,421,False,3,Orange,0.09,2025-06-02
166,Blue,Doubles,-1,478,True,2,Orange,0.056,2025-07-12
167,Orange,Standard,6,355,False,3,Orange,0.066,2025-08-03
168,Orange,Duel,5,390,False,1,Orange,0.084,2025-06-30
169,Blue,Standard,6,421,False,3,Blue,0.053,2025-07-16
170,Blue,Standard,0,278,False,3,Draw,0.101,2025-07-13
171,Blue,Doubles,-2,348,True,2,Orange,0.056,2025-06-19
172,Orange,Doubles,-4,534,True,2,Blue,0.073,2025-08-28
173,Orange,Duel,-2,266,False,1,Blue,0.147,2025-10-09
174,Orange,Standard,-4,385,False,3,Blue,0.096,2025-06-27
175,Blue,Standard,-6,398,False,3,Orange,0.063,2025-11-02
176,Blue,Doubles,-2,569,True,2,Orange,0.067,2025-11-10
177,Blue,Duel,-2,321,False,1,Orange,0.053,2025-10-29
178,Orange,Duel,-3,280,False,1,Blue,0.104,2025-08-05
179,Blue,Standard,4,301,False,3,Blue,0.091,2025-08-05
180,Orange,Duel,2,260,False,1,Orange,0.122,2025-06-15
181,Orange,Duel,3,284,False,1,Orange,0.132,2025-06-05
182,Orange,Standard,-4,356,False,3,Blue,0.052,2025-07-04
183,Blue,Doubles,1,413,False,2,Blue,0.068,2025-09-14
184,Blue,Standard,3,301,False,3,Blue,0.058,2025-07-02
185,Blue,Standard,3,284,False,3,Blue,0.116,2025-06-10
186,Blue,Duel,2,238,False,1,Blue,0.206,2025-06-04
187,Orange,Standard,-5,311,False,3,Blue,0.099,2025-08-24
188,Orange,Doubles,-3,305,False,2,Blue,0.051,2025-09-20
189,Blue,Standard,1,437,False,3,Blue,0.053,2025-06-08
190,Orange,Standard,6,415,False,3,Orange,0.072,2025-09-13
191,Blue,Standard,-6,360,False,3,Orange,0.073,2025-09-09
192,Blue,Standard,6,430,False,3,Blue,0.076,2025-07-29
193,Blue,Doubles,-2,291,False,2,Orange,0.143,2025-07-02
194,Orange,Standard,-2,267,False,3,Blue,0.149,2025-09-04
195,Blue,Duel,6,342,True,1,Blue,0.073,2025-11-16
196,Blue,Doubles,-4,396,False,2,Orange,0.054,2025-06-13
197,Orange,Standard,6,419,False,3,Orange,0.09,2025-10-02
198,Blue,Doubles,3,383,False,2,Blue,0.083,2025-06-01
199,Orange,Standard,-4,473,True,3,Blue,0.07,2025-09-10
200,Orange,Standard,-5,361,False,3,Blue,0.085,2025-09-20
201,Blue,Doubles,-4,305,False,2,Orange,0.078,2025-11-09
202,Orange,Standard,-3,297,False,3,Blue,0.131,2025-08-10
203,Blue,Standard,-4,313,False,3,Orange,0.081,2025-06-23
204,Orange,Duel,-4,261,False,1,Blue,0.104,2025-06-09
205,Blue,Doubles,2,385,False,2,Blue,0.096,2025-07-16
206,Blue,Standard,-6,339,False,3,Orange,0.069,2025-09-08
207,Blue,Standard,-6,376,True,3,Orange,0.083,2025-09-07
208,Orange,Standard,-2,450,True,3,Blue,0.071,2025-10-24
209,Orange,Doubles,-3,297,False,2,Blue,0.146,2025-06-14
210,Orange,Standard,4,325,False,3,Orange,0.085,2025-09-15
211,Orange,Doubles,-2,249,False,2,Blue,0.113,2025-07-20
212,Blue,Standard,1,401,False,3,Blue,0.08,2025-07-24
213,Orange,Standard,-6,400,False,3,Blue,0.085,2025-07-26
214,Orange,Duel,2,322,False,1,Orange,0.081,2025-06-01
215,Orange,Standard,6,277,False,3,Orange,0.112,2025-06-01
216,Blue,Duel,-5,393,True,1,Orange,0.097,2025-09-23
217,Orange,Standard,5,366,False,3,Orange,0.067,2025-08-08
218,Orange,Standard,-2,283,False,3,Blue,0.107,2025-06-20
219,Blue,Doubles,2,359,False,2,Blue,0.074,2025-09-06
220,Orange,Standard,1,442,True,3,Orange,0.089,2025-06-01
221,Blue,Standard,-6,510,True,3,Orange,0.065,2025-11-25
222,Blue,Standard,-5,378,False,3,Orange,0.099,2025-10-06
223,Orange,Standard,-2,493,True,3,Blue,0.076,2025-11-24
224,Blue,Doubles,5,365,False,2,Blue,0.059,2025-07-10
225,Blue,Standard,-1,356,False,3,Orange,0.065,2025-06-23
226,Orange,Duel,6,275,False,1,Orange,0.142,2025-08-05
227,Blue,Doubles,6,403,True,2,Blue,0.069,2025-06-08
228,Blue,Doubles,2,267,False,2,Blue,0.125,2025-06-17
229,Orange,Doubles,-2,340,False,2,Blue,0.061,2025-11-06
230,Orange,Doubles,3,367,False,2,Orange,0.053,2025-11-01
231,Orange,Standard,-6,508,True,3,Blue,0.093,2025-10-03
232,Orange,Duel,-1,230,False,1,Blue,0.227,2025-06-19
233,Blue,Standard,-1,283,False,3,Orange,0.132,2025-09-29
234,Blue,Doubles,4,317,False,2,Blue,0.062,2025-09-15
235,Orange,Doubles,4,349,False,2,Orange,0.058,2025-08-22
236,Orange,Doubles,6,306,False,2,Orange,0.088,2025-06-20
237,Orange,Duel,6,272,False,1,Orange,0.117,2025-11-03
238,Orange,Duel,1,261,False,1,Orange,0.114,2025-06-14
239,Blue,Standard,6,343,False,3,Blue,0.092,2025-06-07
240,Orange,Standard,0,505,True,3,Draw,0.076,2025-07-01
241,Orange,Duel,-2,428,True,1,Blue,0.069,2025-10-05
242,Orange,Duel,2,254,False,1,Orange,0.145,2025-07-21
243,Orange,Doubles,1,257,False,2,Orange,0.141,2025-06-02
244,Orange,Standard,0,414,True,3,Draw,0.062,2025-06-19
245,Orange,Standard,-2,304,False,3,Blue,0.05,2025-06-25
246,Orange,Standard,-3,412,False,3,Blue,0.072,2025-11-19
247,Orange,Duel,1,327,False,1,Orange,0.093,2025-11-04
248,Orange,Standard,2,326,False,3,Orange,0.082,2025-07-16
249,Orange,Doubles,-1,478,True,2,Blue,0.081,2025-09-21
250,Orange,Standard,-4,379,False,3,Blue,0.066,2025-09-27
251,Orange,Standard,-1,342,False,3,Blue,0.085,2025-09-25
252,Orange,Duel,6,336,False,1,Orange,0.052,2025-08-10
253,Orange,Doubles,-4,309,False,2,Blue,0.09,2025-07-22
254,Orange,Doubles,-5,303,False,2,Blue,0.054,2025-09-07
255,Orange,Doubles,-3,275,False,2,Blue,0.133,2025-10-13
256,Blue,Duel,3,332,False,1,Blue,0.096,2025-10-10
257,Orange,Doubles,6,278,False,2,Orange,0.109,2025-10-26
258,Orange,Standard,-6,408,False,3,Blue,0.09,2025-08-05
259,Orange,Doubles,3,369,False,2,Orange,0.05,2025-09-27
260,Orange,Duel,0,286,False,1,Draw,0.1,2025-09-25
261,Orange,Standard,6,439,False,3,Orange,0.082,2025-07-11
262,Orange,Duel,6,310,False,1,Orange,0.083,2025-09-19
263,Orange,Duel,1,358,False,1,Orange,0.061,2025-06-11
264,Orange,Standard,4,412,False,3,Orange,0.052,2025-06-11
265,Blue,Standard,5,374,False,3,Blue,0.085,2025-09-18
266,Orange,Doubles,-6,300,False,2,Blue,0.099,2025-10-10
267,Orange,Doubles,-3,339,False,2,Blue,0.07,2025-08-07
268,Orange,Doubles,-3,252,False,2,Blue,0.142,2025-09-23
269,Orange,Duel,6,276,False,1,Orange,0.128,2025-07-29
270,Blue,Duel,5,299,False,1,Blue,0.102,2025-10-29
271,Orange,Duel,0,243,False,1,Draw,0.114,2025-09-23
272,Blue,Doubles,-1,248,False,2,Orange,0.131,2025-09-27
273,Orange,Doubles,6,246,False,2,Orange,0.136,2025-09-29
274,Blue,Standard,1,410,False,3,Blue,0.081,2025-08-05
275,Blue,Doubles,5,305,False,2,Blue,0.063,2025-08-04
276,Blue,Duel,1,355,False,1,Blue,0.089,2025-08-16
277,Blue,Duel,3,356,False,1,Blue,0.092,2025-06-04
278,Blue,Doubles,1,395,False,2,Blue,0.059,2025-07-09
279,Orange,Doubles,4,256,False,2,Orange,0.113,2025-11-06
280,Blue,Duel,3,294,False,1,Blue,0.111,2025-07-18
281,Blue,Doubles,6,399,False,2,Blue,0.087,2025-11-06
282,Orange,Standard,3,453,True,3,Orange,0.065,2025-08-29
283,Orange,Doubles,2,377,True,2,Orange,0.066,2025-08-10
284,Blue,Duel,-6,269,False,1,Orange,0.123,2025-11-13
285,Orange,Standard,0,399,False,3,Draw,0.072,2025-10-05
286,Orange,Doubles,-6,340,False,2,Blue,0.09,2025-11-15
287,Blue,Doubles,-1,310,False,2,Orange,0.084,2025-10-03
288,Blue,Doubles,-3,300,False,2,Orange,0.093,2025-06-10
289,Orange,Doubles,6,311,False,2,Orange,0.089,2025-11-07
290,Orange,Standard,-4,359,False,3,Blue,0.078,2025-08-19
291,Orange,Duel,-6,374,False,1,Blue,0.096,2025-07-10
292,Blue,Duel,3,351,True,1,Blue,0.089,2025-07-21
293,Blue,Doubles,-6,413,False,2,Orange,0.078,2025-09-21
294,Blue,Doubles,-6,315,False,2,Orange,0.057,2025-09-26
295,Orange,Standard,2,371,False,3,Orange,0.071,2025-11-24
296,Orange,Duel,-2,341,False,1,Blue,0.081,2025-08-07
297,Blue,Standard,2,321,False,3,Blue,0.067,2025-07-26
298,Orange,Standard,3,398,True,3,Orange,0.058,2025-07-17
299,Orange,Duel,2,415,True,1,Orange,0.099,2025-11-23
300,Orange,Duel,-3,351,False,1,Blue,0.098,2025-11-25
301,Orange,Standard,-4,426,False,3,Blue,0.089,2025-06-04
302,Blue,Doubles,3,297,False,2,Blue,0.113,2025-09-29
303,Orange,Doubles,5,529,True,2,Orange,0.062,2025-09-22
304,Blue,Standard,4,324,False,3,Blue,0.069,2025-07-24
305,Orange,Duel,-1,306,False,1,Blue,0.069,2025-09-01
306,Orange,Standard,-3,352,False,3,Blue,0.099,2025-07-25
307,Blue,Duel,-3,230,False,1,Orange,0.237,2025-09-19
308,Blue,Standard,5,424,False,3,Blue,0.075,2025-09-07
309,Orange,Doubles,-4,328,False,2,Blue,0.079,2025-11-10
310,Orange,Standard,-4,431,False,3,Blue,0.069,2025-06-14
311,Blue,Doubles,0,416,False,2,Draw,0.077,2025-11-21
312,Blue,Standard,-2,405,False,3,Orange,0.06,2025-09-25
313,Orange,Standard,-3,283,False,3,Blue,0.132,2025-07-29
314,Orange,Doubles,6,286,False,2,Orange,0.144,2025-10-03
315,Orange,Doubles,-6,441,True,2,Blue,0.082,2025-09-06
316,Orange,Duel,5,331,False,1,Orange,0.096,2025-06-21
317,Orange,Doubles,1,298,False,2,Orange,0.133,2025-09-03
318,Blue,Standard,-5,294,False,3,Orange,0.14,2025-11-13
319,Orange,Standard,-2,271,False,3,Blue,0.123,2025-06-04
320,Blue,Duel,0,269,False,1,Draw,0.124,2025-09-14
321,Orange,Doubles,-1,355,False,2,Blue,0.067,2025-11-04
322,Orange,Duel,1,307,False,1,Orange,0.07,2025-08-05
323,Orange,Duel,-2,323,False,1,Blue,0.07,2025-06-17
324,Blue,Doubles,-1,332,False,2,Orange,0.093,2025-06-03
325,Orange,Standard,6,275,False,3,Orange,0.135,2025-07-11
326,Orange,Duel,-1,457,True,1,Blue,0.074,2025-10-29
327,Blue,Standard,5,362,False,3,Blue,0.084,2025-07-19
328,Orange,Duel,-3,372,False,1,Blue,0.06,2025-07-23
329,Blue,Standard,-1,302,False,3,Orange,0.073,2025-10-21
330,Orange,Doubles,4,447,True,2,Orange,0.099,2025-06-12
331,Orange,Duel,2,370,False,1,Orange,0.077,2025-10-13
332,Blue,Doubles,-6,421,True,2,Orange,0.062,2025-08-30
333,Orange,Doubles,0,418,False,2,Draw,0.099,2025-10-19
334,Orange,Standard,0,322,False,3,Draw,0.065,2025-06-20
335,Orange,Doubles,6,265,False,2,Orange,0.148,2025-08-27
336,Blue,Doubles,2,349,False,2,Blue,0.062,2025-11-19
337,Blue,Doubles,-4,384,True,2,Orange,0.055,2025-06-24
338,Orange,Doubles,-1,307,False,2,Blue,0.072,2025-07-29
339,Orange,Standard,-5,369,False,3,Blue,0.076,2025-11-26
340,Orange,Duel,-4,387,False,1,Blue,0.074,2025-08-07
341,Blue,Doubles,1,311,False,2,Blue,0.051,2025-11-25
342,Blue,Standard,4,424,False,3,Blue,0.087,2025-10-25
343,Blue,Doubles,-3,359,False,2,Orange,0.07,2025-11-06
344,Blue,Doubles,-1,288,False,2,Orange,0.127,2025-06-25
345,Orange,Doubles,-3,331,False,2,Blue,0.052,2025-10-01
346,Blue,Duel,-5,365,False,1,Orange,0.058,2025-07-27
347,Orange,Duel,-4,278,False,1,Blue,0.118,2025-08-17
348,Blue,Duel,3,353,False,1,Blue,0.087,2025-07-15
349,Blue,Standard,-1,508,True,3,Orange,0.083,2025-11-04
350,Orange,Doubles,5,364,False,2,Orange,0.073,2025-08-16
351,Orange,Standard,2,439,False,3,Orange,0.091,2025-07-07
352,Orange,Standard,4,320,False,3,Orange,0.069,2025-07-06
353,Blue,Doubles,-2,407,False,2,Orange,0.093,2025-08-17
354,Blue,Duel,-5,285,False,1,Orange,0.142,2025-11-01
355,Orange,Standard,-2,504,True,3,Blue,0.072,2025-08-01
356,Blue,Standard,-1,429,False,3,Orange,0.082,2025-10-11
357,Orange,Doubles,1,349,False,2,Orange,0.068,2025-09-28
358,Blue,Doubles,3,308,False,2,Blue,0.069,2025-07-05
359,Orange,Doubles,-4,289,False,2,Blue,0.106,2025-07-05
360,Blue,Standard,-1,308,False,3,Orange,0.087,2025-11-12
361,Blue,Standard,2,332,False,3,Blue,0.097,2025-11-02
362,Blue,Doubles,4,344,False,2,Blue,0.067,2025-06-04
363,Orange,Duel,0,220,False,1,Draw,0.201,2025-08-03
364,Orange,Doubles,2,393,False,2,Orange,0.066,2025-09-06
365,Blue,Standard,-2,309,False,3,Orange,0.068,2025-08-08
366,Orange,Duel,1,225,False,1,Orange,0.212,2025-09-15
367,Blue,Duel,2,303,False,1,Blue,0.087,2025-10-08
368,Blue,Standard,3,419,False,3,Blue,0.068,2025-10-01
369,Blue,Doubles,-1,359,False,2,Orange,0.054,2025-09-25
370,Blue,Duel,0,228,False,1,Draw,0.245,2025-06-18
371,Orange,Standard,-4,339,False,3,Blue,0.08,2025-06-24
372,Orange,Standard,-1,302,False,3,Blue,0.099,2025-06-22
373,Orange,Standard,0,336,False,3,Draw,0.096,2025-09-29
374,Blue,Duel,0,231,False,1,Draw,0.208,2025-08-03
375,Blue,Duel,5,338,False,1,Blue,0.057,2025-07-04
376,Orange,Doubles,-1,350,False,2,Blue,0.099,2025-09-11
377,Orange,Standard,2,346,False,3,Orange,0.07,2025-09-03
378,Orange,Duel,-1,375,False,1,Blue,0.099,2025-06-01
379,Orange,Doubles,2,338,False,2,Orange,0.08,2025-06-19
380,Blue,Duel,6,392,False,1,Blue,0.075,2025-09-21
381,Orange,Duel,5,264,False,1,Orange,0.107,2025-11-21
382,Blue,Doubles,-4,258,False,2,Orange,0.131,2025-07-31
383,Orange,Duel,1,250,False,1,Orange,0.139,2025-07-27
384,Orange,Doubles,2,268,False,2,Orange,0.146,2025-10-12
385,Blue,Duel,-3,334,False,1,Orange,0.07,2025-11-17
386,Blue,Duel,1,303,False,1,Blue,0.079,2025-07-18
387,Orange,Standard,5,589,True,3,Orange,0.1,2025-08-21
388,Orange,Duel,-2,234,False,1,Blue,0.221,2025-06-17
389,Blue,Duel,-2,328,False,1,Orange,0.093,2025-08-04
390,Orange,Doubles,5,392,False,2,Orange,0.08,2025-06-09
391,Blue,Doubles,4,415,False,2,Blue,0.054,2025-09-09
392,Orange,Standard,-1,379,False,3,Blue,0.07,2025-06-17
393,Orange,Duel,3,320,False,1,Orange,0.069,2025-07-14
394,Orange,Doubles,3,308,False,2,Orange,0.068,2025-10-29
395,Blue,Standard,4,492,True,3,Blue,0.09,2025-07-26
396,Orange,Standard,5,265,False,3,Orange,0.116,2025-06-05
397,Blue,Duel,4,322,False,1,Blue,0.07,2025-07-27
398,Orange,Duel,-4,391,True,1,Blue,0.094,2025-11-20
399,Blue,Doubles,-6,387,False,2,Orange,0.072,2025-09-30
400,Blue,Doubles,4,387,True,2,Blue,0.06,2025-11-27
401,Orange,Standard,-6,407,False,3,Blue,0.061,2025-10-22
402,Blue,Duel,-2,395,False,1,Orange,0.065,2025-11-12
403,Blue,Standard,6,401,False,3,Blue,0.079,2025-06-13
404,Orange,Doubles,1,348,False,2,Orange,0.091,2025-10-25
405,Blue,Duel,3,486,True,1,Blue,0.098,2025-10-10
406,Orange,Standard,-4,431,False,3,Blue,0.052,2025-08-17
407,Orange,Duel,1,379,False,1,Orange,0.09,2025-11-12
408,Orange,Standard,1,434,False,3,Orange,0.078,2025-08-29
409,Blue,Standard,-4,273,False,3,Orange,0.134,2025-09-07
410,Orange,Standard,4,345,False,3,Orange,0.069,2025-07-31
411,Blue,Duel,-5,332,False,1,Orange,0.062,2025-07-26
